ticker,company name,short name,industry,exchange,market cap,sector
G,Genpact Limited,Genpact Limited,Business Services,New York Stock Exchange,5822413420,Industrials
GAB,Gabelli Equity Trust Inc. (The),Gabelli Equity Trust (The),Asset Management,New York Stock Exchange,1479632860,Financial Services
GAM,General American Investors Inc.,General American Investors,Asset Management,New York Stock Exchange,809194725,Financial Services
GATX,GATX Corporation,GATX,Consulting & Outsourcing,New York Stock Exchange,2847072000,Industrials
GBAB,Guggenheim Taxable Municipal Managed Duration Trust of Beneficial Interest,Guggenheim Taxable Municipal Managed Duration Trust of Beneficial Interest,Asset Management,New York Stock Exchange,393956864,Financial Services
GBL,Gamco Investors Inc.,Gamco Investors,Asset Management,New York Stock Exchange,602811833,Financial Services
GBX,Greenbrier Companies Inc. (The),Greenbrier Companies (The),Transportation & Logistics,New York Stock Exchange,1382324559,Industrials
GCAP,GAIN Capital Holdings Inc.,GAIN Capital,Brokers & Exchanges,New York Stock Exchange,290929462,Financial Services
GCI,Gannett Co. Inc.,Gannett Co.,Publishing,New York Stock Exchange,1240810568,Consumer Cyclical
GCO,Genesco Inc.,Genesco,Retail - Apparel & Specialty,New York Stock Exchange,923606963,Consumer Cyclical
GCP,GCP Applied Technologies Inc.,GCP Applied,Chemicals,New York Stock Exchange,1859728283,Basic Materials
GCV,Gabelli Convertible and Income Securities Fund Inc. (The),Gabelli Convertible and Income Securities Fund (The),Asset Management,New York Stock Exchange,72305033,Financial Services
GD,General Dynamics Corporation,General Dynamics,Aerospace & Defense,New York Stock Exchange,50409583797,Industrials
GDDY,GoDaddy Inc. Class A,GoDaddy,Online Media,New York Stock Exchange,12109723514,Technology
GDI,Gardner Denver Holdings Inc.,Gardner Denver,Computer Hardware,New York Stock Exchange,4949192151,Technology
GDL,GDL Fund The of Beneficial Interest,GDL Fund The of Beneficial Interest,Asset Management,New York Stock Exchange,169777264,Financial Services
